date,longitude,latitude,CO,NO2,HCHO,O3,SO2,CH4
2024-09-01,112.61031217809158,-7.135570485497508,0.030448669449869206,7.635035570773888e-05,0.00030337179607586043,0.11794914492489368,0.0010187177168413978,1864.8089856808915
2024-09-02,112.61031217809158,-7.135570485497508,0.028322172434242142,6.22000813296959e-05,0.00041769578647172546,0.11609648674062484,0.00019713071491825397,
2024-09-03,112.61031217809158,-7.135570485497508,0.02701119901180319,3.159124970164641e-05,0.0001532479167651469,0.11444865337222886,0.001734768725831889,
2024-09-04,112.61031217809158,-7.135570485497508,0.026772347604655123,7.930177442420832e-05,0.0002665620378920198,0.11657677389749105,6.156571865988868e-05,
2024-09-05,112.61031217809158,-7.135570485497508,0.02467017179757195,0.00010982574492049447,5.5819980544574466e-05,0.11621483795413459,5.7443397923460565e-05,1882.3724557704475
2024-09-06,112.61031217809158,-7.135570485497508,0.0279586872454632,6.668094796158639e-05,7.101462446498278e-05,0.11622561278563091,0.0008173773077235397,
2024-09-07,112.61031217809158,-7.135570485497508,0.027828734533665137,4.581305059879703e-05,8.865979072693484e-05,0.11707118286521548,0.0004845170745997892,
2024-09-08,112.61031217809158,-7.135570485497508,0.03028122317288126,3.3813324626493373e-05,0.00013001021866932818,0.11582174346687839,,
2024-09-09,112.61031217809158,-7.135570485497508,0.02600978008509834,5.445635136921673e-05,0.0001726200612704919,0.11510289158487526,-0.0002175771348942844,
2024-09-10,112.61031217809158,-7.135570485497508,,,,0.11588000127363134,,
2024-09-11,112.61031217809158,-7.135570485497508,0.029052728003958396,0.0002611166494065087,9.741477167116021e-05,0.11693847782416669,0.00037935248438512637,
2024-09-12,112.61031217809158,-7.135570485497508,0.0300402959093607,7.349057171373343e-05,0.00025958612842859487,0.11738897754611816,0.0001392921882581946,
2024-09-13,112.61031217809158,-7.135570485497508,0.031510785445449,7.321201584455545e-05,3.291842980272022e-05,0.11832778955622705,0.00024653306799305645,
2024-09-14,112.61031217809158,-7.135570485497508,,6.305425486407736e-05,9.772886370628052e-05,0.11862585786579508,-0.0005433493501723932,1857.366696713716
2024-09-15,112.61031217809158,-7.135570485497508,0.03392773582451946,8.306632106349993e-05,0.00014333904922705855,0.11839230431096187,0.0002178008867417589,
2024-09-16,112.61031217809158,-7.135570485497508,0.03808626483320012,7.360733883378553e-05,,0.11625474303518016,,
2024-09-17,112.61031217809158,-7.135570485497508,,0.0001030544366942253,0.0001799134182624873,0.12326647238158818,0.0004898998995402993,
2024-09-18,112.61031217809158,-7.135570485497508,,,0.00010487858642099418,0.12032783583537078,,
2024-09-19,112.61031217809158,-7.135570485497508,,0.00015146965163390083,0.0002856176006428703,0.11855271231932052,-0.0001633014449717442,
2024-09-20,112.61031217809158,-7.135570485497508,0.03612392820546579,0.0001780610616916569,0.00017397390504456773,0.11712175154810978,-1.9657103628848658e-05,
2024-09-21,112.61031217809158,-7.135570485497508,0.03472551411516972,0.00027189111316088536,0.00020726154592733446,0.11836008055114113,0.0002120707504302476,
